geo,indicator,date,month,value,unit,sub_indicator_short
SZ,UN_Tourism_inbound_arrivals_by_transport_12_2025,2022,,465.4,thousand_trips,inbound - trips - transport - by land - overnight visitors (tourists)
ES,UN_Tourism_inbound_accommodation_12_2025,2016,,50297.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
ES,UN_Tourism_inbound_accommodation_12_2025,2017,,53334.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
ES,UN_Tourism_inbound_accommodation_12_2025,2018,,54146.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
ES,UN_Tourism_inbound_accommodation_12_2025,2019,,55982.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
ES,UN_Tourism_inbound_accommodation_12_2025,2020,,10894.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
ES,UN_Tourism_inbound_accommodation_12_2025,2021,,20451.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
ES,UN_Tourism_inbound_accommodation_12_2025,2022,,49568.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
ES,UN_Tourism_inbound_accommodation_12_2025,2023,,68632.25,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
ES,UN_Tourism_inbound_accommodation_12_2025,2024,,73766.842,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
FR,UN_Tourism_inbound_accommodation_12_2025,2016,,32492.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
FR,UN_Tourism_inbound_accommodation_12_2025,2017,,35568.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
