geo,indicator,date,month,value,unit,sub_indicator_short
DE,population_by_age_group,2025,,10.0,%,Proportion of population aged 15-24 years
DE,population_by_age_group,2016,,32.9,%,Proportion of population aged 25-49 years
DE,population_by_age_group,2017,,32.4,%,Proportion of population aged 25-49 years
DE,population_by_age_group,2018,,32.0,%,Proportion of population aged 25-49 years
DE,population_by_age_group,2019,,31.6,%,Proportion of population aged 25-49 years
DE,population_by_age_group,2020,,31.3,%,Proportion of population aged 25-49 years
DE,population_by_age_group,2021,,31.1,%,Proportion of population aged 25-49 years
DE,population_by_age_group,2022,,31.0,%,Proportion of population aged 25-49 years
DE,population_by_age_group,2023,,31.1,%,Proportion of population aged 25-49 years
DE,population_by_age_group,2024,,31.3,%,Proportion of population aged 25-49 years
DE,population_by_age_group,2025,,31.5,%,Proportion of population aged 25-49 years
DE,population_by_age_group,2016,,22.1,%,Proportion of population aged 50-64 years
DE,population_by_age_group,2017,,22.4,%,Proportion of population aged 50-64 years
DE,population_by_age_group,2018,,22.6,%,Proportion of population aged 50-64 years
DE,population_by_age_group,2019,,22.8,%,Proportion of population aged 50-64 years
DE,population_by_age_group,2020,,23.0,%,Proportion of population aged 50-64 years
DE,population_by_age_group,2021,,23.0,%,Proportion of population aged 50-64 years
DE,population_by_age_group,2022,,22.9,%,Proportion of population aged 50-64 years
DE,population_by_age_group,2023,,22.7,%,Proportion of population aged 50-64 years
DE,population_by_age_group,2024,,22.3,%,Proportion of population aged 50-64 years
DE,population_by_age_group,2025,,21.9,%,Proportion of population aged 50-64 years
DE,population_by_age_group,2016,,15.3,%,Proportion of population aged 65-79 years
DE,population_by_age_group,2017,,15.2,%,Proportion of population aged 65-79 years
DE,population_by_age_group,2018,,15.2,%,Proportion of population aged 65-79 years
DE,population_by_age_group,2019,,15.1,%,Proportion of population aged 65-79 years
DE,population_by_age_group,2020,,14.9,%,Proportion of population aged 65-79 years
DE,population_by_age_group,2021,,14.8,%,Proportion of population aged 65-79 years
DE,population_by_age_group,2022,,14.8,%,Proportion of population aged 65-79 years
DE,population_by_age_group,2023,,15.0,%,Proportion of population aged 65-79 years
DE,population_by_age_group,2024,,15.2,%,Proportion of population aged 65-79 years
DE,population_by_age_group,2025,,15.5,%,Proportion of population aged 65-79 years
